A,B
0,0.006000000000000001
1500,0.16766666666666666
1_1,0.004
1_2,0.003
2_1,0.001
2_2,0.003
3000,0.30033333333333334
4500,0.47666666666666674
LIF-241,1.187
LIF-242,1.1219999999999999
LIF-243,1.3905
LIF-244,1.207
LIF-245,1.0755
LIF-246,1.5350000000000001
LIF-247,1.4195000000000002
LIF-248,1.5695000000000001
LIF-249,1.2919999999999998
LIF-250,1.0815000000000001
LIF-251,1.177
LIF-252,1.2200000000000002
LIF-253,1.3984999999999999
LIF-254,1.1195
LIF-255,1.0755000000000001
LIF-256,1.113
LIF-257,1.2435
LIF-258,0.6775
LIF-259,0.6675
LIF-260,0.809
LIF-261,0.6615
LIF-262,0.7755000000000001
LIF-263,0.8305
LIF-264,0.859
LIF-265,0.9475
LIF-266,0.7825
LIF-267,0.662
LIF-268,0.9685
