Sample Name,410 nm   [A]
1_1, 0.004
1_2, 0.003
2_1, 0.001
2_2, 0.003
0.00, 0.006
0.00, 0.006
0.00, 0.006
1500.0, 0.166
1500.0, 0.171
1500.0, 0.166
3000.0, 0.302
3000.0, 0.300
3000.0, 0.299
4500.0, 0.437
4500.0, 0.448
4500.0, 0.545
LIF-241, 1.181
LIF-241, 1.193
LIF-242, 1.101
LIF-242, 1.143
LIF-243, 1.414
LIF-243, 1.367
LIF-244, 1.185
LIF-244, 1.229
LIF-245, 1.074
LIF-245, 1.077
LIF-246, 1.466
LIF-246, 1.604
LIF-247, 1.438
LIF-247, 1.401
LIF-248, 1.564
LIF-248, 1.575
LIF-249, 1.282
LIF-249, 1.302
LIF-250, 1.038
LIF-250, 1.125
LIF-251, 1.226
LIF-251, 1.128
LIF-252, 1.256
LIF-252, 1.184
LIF-253, 1.335
LIF-253, 1.462
LIF-254, 1.114
LIF-254, 1.125
LIF-255, 1.092
LIF-255, 1.059
LIF-256, 1.124
LIF-256, 1.102
LIF-257, 1.208
LIF-257, 1.279
LIF-258, 0.674
LIF-258, 0.681
LIF-259, 0.663
LIF-259, 0.672
LIF-260, 0.824
LIF-260, 0.794
LIF-261, 0.648
LIF-261, 0.675
LIF-262, 0.759
LIF-262, 0.792
LIF-263, 0.562
LIF-263, 1.099
LIF-264, 0.871
LIF-264, 0.847
LIF-265, 0.944
LIF-265, 0.951
LIF-266, 0.785
LIF-266, 0.780
LIF-267, 0.665
LIF-267, 0.659
LIF-268, 0.968
LIF-268, 0.969
